User_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
PP0000001,217,1,3625.65,1,1,1,3,Lost
PP0000002,13,3,19076.22,5,3,3,11,Loyal
PP0000003,270,1,2693.6,1,1,1,3,Lost
PP0000004,7,3,23704.46,5,3,4,12,Loyal
PP0000005,145,1,998.42,2,1,1,4,Lost
PP0000006,15,1,4725.76,5,1,2,8,Regular
PP0000007,67,2,2388.48,3,1,1,5,Needs Attention
PP0000008,34,9,39223.64,4,5,4,13,High Value
PP0000009,80,3,83430.31,3,3,5,11,Loyal
PP0000010,253,1,829.01,1,1,1,3,Lost
PP0000011,272,2,12323.900000000001,1,1,3,5,Needs Attention
PP0000013,26,3,2140.63,5,3,1,9,Regular
PP0000015,53,3,47830.08,4,3,4,11,Loyal
PP0000016,59,3,18693.19,4,3,3,10,Loyal
PP0000017,3,3,95493.5,5,3,5,13,High Value
PP0000018,26,2,13567.91,5,1,3,9,Regular
PP0000019,150,2,1610.3899999999999,2,1,1,4,Lost
PP0000021,17,6,75061.49,5,5,5,15,High Value
PP0000022,120,3,24995.84,2,3,4,9,Regular
PP0000023,4,1,3282.76,5,1,1,7,Regular
PP0000025,95,6,18134.07,3,5,3,11,Loyal
PP0000026,103,4,51882.97,3,4,4,11,Loyal
PP0000027,30,4,16260.64,4,4,3,11,Loyal
PP0000028,10,3,105759.39,5,3,5,13,High Value
PP0000029,54,4,7320.66,4,4,2,10,Loyal
PP0000030,68,3,80824.54999999999,3,3,5,11,Loyal
PP0000032,146,2,13383.39,2,1,3,6,Needs Attention
PP0000033,251,1,3194.13,1,1,1,3,Lost
PP0000034,19,2,2520.5299999999997,5,1,1,7,Regular
PP0000035,194,2,1261.04,1,1,1,3,Lost
PP0000036,251,1,6674.26,1,1,2,4,Lost
PP0000037,125,1,69277.7,2,1,5,8,Regular
PP0000038,103,3,8142.89,3,3,2,8,Regular
PP0000039,52,3,63774.76,4,3,4,11,Loyal
PP0000040,216,5,127273.69,1,5,5,11,Loyal
PP0000041,118,3,11713.49,2,3,3,8,Regular
PP0000042,223,2,8393.13,1,1,2,4,Lost
PP0000043,114,2,20075.88,2,1,3,6,Needs Attention
PP0000044,210,1,78553.21,1,1,5,7,Regular
PP0000045,20,3,77441.50000000001,5,3,5,13,High Value
PP0000046,28,3,62068.78999999999,5,3,4,12,Loyal
PP0000047,16,4,95290.97,5,4,5,14,High Value
PP0000048,80,4,9789.11,3,4,2,9,Regular
PP0000049,55,3,7297.81,4,3,2,9,Regular
PP0000050,185,3,120566.12,1,3,5,9,Regular
PP0000051,195,4,48599.979999999996,1,4,4,9,Regular
PP0000052,64,3,3733.9700000000003,3,3,1,7,Regular
PP0000053,3,4,24036.01,5,4,4,13,High Value
PP0000054,9,3,16230.689999999999,5,3,3,11,Loyal
PP0000055,98,2,3605.5299999999997,3,1,1,5,Needs Attention
PP0000056,88,4,29363.34,3,4,4,11,Loyal
PP0000057,37,2,4803.64,4,1,2,7,Regular
PP0000058,47,2,5649.55,4,1,2,7,Regular
PP0000059,127,3,68138.43,2,3,4,9,Regular
PP0000060,6,1,3302.39,5,1,1,7,Regular
PP0000061,22,2,21473.9,5,1,3,9,Regular
PP0000062,349,1,462.93,1,1,1,3,Lost
PP0000063,81,4,7910.66,3,4,2,9,Regular
PP0000064,232,2,2611.0699999999997,1,1,1,3,Lost
PP0000065,24,3,19556.22,5,3,3,11,Loyal
PP0000066,134,4,9590.21,2,4,2,8,Regular
PP0000067,23,8,37590.72,5,5,4,14,High Value
PP0000068,120,1,86064.26,2,1,5,8,Regular
PP0000069,242,2,8272.380000000001,1,1,2,4,Lost
PP0000070,102,4,78365.17,3,4,5,12,Loyal
PP0000071,86,2,6853.51,3,1,2,6,Needs Attention
PP0000072,8,5,15366.87,5,5,3,13,High Value
PP0000073,175,3,6375.23,2,3,2,7,Regular
PP0000075,7,4,7644.110000000001,5,4,2,11,Loyal
PP0000076,35,3,26877.9,4,3,4,11,Loyal
PP0000077,79,5,106503.68000000001,3,5,5,13,High Value
PP0000079,22,3,83951.22,5,3,5,13,High Value
PP0000080,348,1,1512.76,1,1,1,3,Lost
PP0000081,36,3,5702.9,4,3,2,9,Regular
PP0000082,178,1,348.05,2,1,1,4,Lost
PP0000083,12,2,3247.58,5,1,1,7,Regular
PP0000084,11,4,87295.33,5,4,5,14,High Value
PP0000085,240,1,46880.09,1,1,4,6,Needs Attention
PP0000086,8,4,18164.63,5,4,3,12,Loyal
PP0000087,70,1,3529.08,3,1,1,5,Needs Attention
PP0000088,64,3,3138.02,3,3,1,7,Regular
PP0000089,202,7,98802.84,1,5,5,11,Loyal
PP0000090,344,1,237.01,1,1,1,3,Lost
PP0000091,40,3,25454.97,4,3,4,11,Loyal
PP0000092,247,2,6992.28,1,1,2,4,Lost
PP0000093,217,3,5954.780000000001,1,3,2,6,Needs Attention
PP0000094,176,2,3164.56,2,1,1,4,Lost
PP0000095,170,4,12587.650000000001,2,4,3,9,Regular
PP0000096,84,3,4541.45,3,3,2,8,Regular
PP0000097,35,5,30829.489999999998,4,5,4,13,High Value
PP0000098,64,2,1193.79,3,1,1,5,Needs Attention
PP0000099,4,2,10011.26,5,1,3,9,Regular
PP0000100,355,1,73635.33,1,1,5,7,Regular
PP0000101,15,3,4332.3,5,3,2,10,Loyal
PP0000102,37,4,65145.31,4,4,4,12,Loyal
PP0000103,52,3,20601.93,4,3,3,10,Loyal
PP0000104,286,1,3535.98,1,1,1,3,Lost
PP0000105,153,2,18294.79,2,1,3,6,Needs Attention
PP0000106,56,5,8381.9,4,5,2,11,Loyal
PP0000107,51,2,10176.359999999999,4,1,3,8,Regular
PP0000108,169,2,4607.2300000000005,2,1,2,5,Needs Attention
PP0000109,337,1,22070.61,1,1,3,5,Needs Attention
PP0000110,8,2,11136.08,5,1,3,9,Regular
PP0000111,294,1,15958.61,1,1,3,5,Needs Attention
PP0000112,20,4,29741.48,5,4,4,13,High Value
PP0000113,128,3,10162.99,2,3,3,8,Regular
PP0000114,55,3,5371.98,4,3,2,9,Regular
PP0000115,154,2,11143.65,2,1,3,6,Needs Attention
PP0000116,5,6,36865.96,5,5,4,14,High Value
PP0000117,67,3,66340.73999999999,3,3,4,10,Loyal
PP0000118,84,2,24889.239999999998,3,1,4,8,Regular
PP0000119,65,3,21023.559999999998,3,3,3,9,Regular
PP0000120,75,3,99246.84999999999,3,3,5,11,Loyal
PP0000122,115,2,1096.87,2,1,1,4,Lost
PP0000123,42,6,76417.37,4,5,5,14,High Value
PP0000124,6,2,4982.84,5,1,2,8,Regular
PP0000125,115,4,84612.73,2,4,5,11,Loyal
PP0000126,124,2,4429.09,2,1,2,5,Needs Attention
PP0000127,159,1,751.48,2,1,1,4,Lost
PP0000128,139,3,64635.780000000006,2,3,4,9,Regular
PP0000129,30,2,97304.31999999999,4,1,5,10,Loyal
PP0000130,85,5,52863.729999999996,3,5,4,12,Loyal
PP0000131,66,3,11769.43,3,3,3,9,Regular
PP0000133,49,3,6373.66,4,3,2,9,Regular
PP0000134,76,2,4928.42,3,1,2,6,Needs Attention
PP0000135,19,2,21634.77,5,1,3,9,Regular
PP0000136,58,1,1228.55,4,1,1,6,Needs Attention
PP0000137,129,5,67855.4,2,5,4,11,Loyal
PP0000138,7,2,6294.75,5,1,2,8,Regular
PP0000139,58,2,3980.36,4,1,1,6,Needs Attention
PP0000140,154,1,565.5,2,1,1,4,Lost
PP0000141,67,7,30278.8,3,5,4,12,Loyal
PP0000142,28,5,131199.76,5,5,5,15,High Value
